,teks,label,clean_teks
10,Anda akan berhenti berlangganan Paket Flash. Ketik FLASH<spasi>YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,2,henti langgan paket flash ketik flashspasiya tuju tunggu sms konfirmasi nonaktif paket
11,Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,2,langgan paket rupiah mbak mbak ghari tuju balas flashspasiya kirim lanjut paket panjang aktif tarif sesuai lokasi tunggu sms konfirmasi pakai informasi zona detail tarif lihat tselmeinternet
12,"Anda akan membeli Paket Gampang Internetan Rp.1250 utk Chatting Sepuasnya (BBM, WhatsApp dan Line)/1 hari.Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan.Tunggu SMS konfirmasi sblm pemakaian.Info detail tariff lihat di Tsel.me/internet",2,beli paket gampang internetan rupiah chatting puas bbm whatsapp line harijika tuju balas flashspasiya kirim melanjutkantunggu sms konfirmasi pemakaianinfo detail tariff lihat tselmeinternet
13,"Anda akan menerima setting ponsel, agar ponsel Anda dapat mengakses internet dan berkirim foto/MMS. Jika Anda setuju balas pesan ini (gratis) dengan ketik Y.",2,terima setting ponsel ponsel akses internet kirim fotomms tuju balas pesan gratis ketik y
14,Anda akan mengaktifkan Paket BBM Gratis berlaku 30 hari dari pertama kali aktivasi. Ketik FLASH (spasi) YA untuk melanjutkan,2,aktif paket bbm gratis laku kali aktivasi ketik flash spasi ya lanjut
15,Anda mendapatkan 1 kupon dalam program Kartu As BIBER (Beli Internet Berhadiah). Cek total kupon maksimal 1x24 jam dari skrg di *100*123#. Info lengkap hub:188,2,kupon program kartu as biber beli internet hadiah cek total kupon maksimal x jam informasi lengkap hubung
16,Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#,2,nikmat paket reguler sisa kuota kbdapatkan agam paket internet hemat tri
17,Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download,2,daftar layan paket malam langgan laku isi ulang voucher kenyang download
18,"Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15",2,tukar poin poin tukar poin menang hadih menang tukar poin tinggi sd november
19,AngpaoPoinSenyum! Dptkan Vchr Lottemart 50rb dg tukar 2500poin (normal 5000poin) sd 11Feb16. Ketik *123*7887*2*5# TERBATAS! Info: www.indosatooredoo.com/angpao,2,angpaopoinsenyum dptkan vchr lottemart tukar poin normal poin sd feb ketik batas informasi
20,Awal bulan saat nya anda eksis lebih lama! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/FL,2,nya eks internetan pakai volume ultima mbhr harga rupiah tariflokasi cek tselmefl
21,"Ayam (sayap/paha bawah), Nasi, Perkedel Rp. 19.545. GRATIS Teh Pucuk. Tukar SMS ini di CFC HASAN SADIKIN hari ini. Selama Persediaan msh ada. Promo *606#",2,ayam sayappaha nasi perkedel rupiah gratis teh pucuk tukar sms cfc hasan sadikin sedia promo
22,"Ayo anak Medan, beli sticker line dengan pulsamu Caranya klik http://www.telkomsel.com/linestore nama stickernya : Kedan Medan",2,ayo anak medan beli stiker line pulsa klik nama stickernya dan medan
23,AYO download AXISnet dari Apple/Play Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 1GB 30hr dapat OBOR 5GB (00-06) Rp18800. Info838. LD335,2,ayo download axisnet appleplay store aktif bronetjam rupiah bronetjam obor rupiah informasi ld
24,AYO download AXISnet dari PLAY/Apple Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 3GB 60hr dapat OBOR 10GB (00-06) Rp39800. Info838. LD307,2,ayo download axisnet playapple store aktif bronetjam rupiah bronetjam obor rupiah informasi ld
25,Ayo dukung pelestarian alam Indonesia bersama Indosat Ooredoo dan WWF-Indonesia dg berdonasi melalui *123*50# dari nomor Indosat Ooredoo.,2,ayo dukung lestari alam indonesia indosat ooredoo wwfindonesia donasi nomor indosat ooredoo
26,"Ayo kawal pemanfaatan subsidi BBM & Kompensasi bagi yang berhak! Pengaduan, ketik BBM (spasi) isi pesan. Kirim 1708",2,ayo kawal manfaat subsidi bbm kompensasi hak adu ketik bbm spasi isi pesan kirim
27,"BANTING HARGA !! Internetan dgn Kuota 1,5GB HANYA 10rb Rupiah, paket Berlaku sebulan. Mau?? Ketik YA ke 919 s/d 16 Desember 2015",2,banting harga internetan kuota rupiah paket laku bulan ketik ya sd desember
28,BEBAS ekspresikan dirimu bersama Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,2,bebas ekspresi diri paket freedom combo indosat ooredoo hubung
29,Bebas Pulsa! Ambil bonusmu di *600# (GRATIS). Dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu!,2,bebas pulsa ambil bonus gratis dptkan gratis telpon internetas promo sesuai hobi
30,"Beli 1 Gratis 1 untuk Lychee Tea atau Latte Flavour dari Yellow Truck Jl.Patuha No.29. Tukarkan SMS ini. Hanya berlaku untuk hari ini, S&K Berlaku.Promo *606#",2,beli gratis lychee tea latte flavour yellow truck jlpatuha nomor tukar sms laku sk berlakupromo
31,Beli 2 Gratis 1 atau beli 1 Diskon 25% tiket Kampung Gajah Wonderland Bandung s.d 31 Mei 2013. Tunjukkan SMS kpd Petugas .Info: www.indosat.com/kampunggajah,2,beli gratis beli diskon tiket kampung gajah wonderland bandung sd mei tunjuk sms tugas informasi
32,Beli 6 Gratis 6 Donut dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada. Promo *606#,2,beli gratis donut dunkin donuts borma setiabudhi tukar sms laku sedia promo
33,Beli paket Turbo mulai 50rb utk pembelian pertama di MyTelkomsel App sjk 25Aug - 25Sept dpt EXTRA PULSA TSEL Rp 50rb loh! Cek detail paket di tsel.me/mytsel1,2,beli paket turbo beli mytelkomsel app sjk aug september extra pulsa rupiah loh cek detail paket tselmemytsel
34,"Bisa Internetan 1,5GB CUMA dengan 20rb, paket berlaku 90 hari. MAU?? Ketik YA ke 919. Penawaran berlaku s/d 8 Januari 2016",2,internetan paket laku ketik ya tawar laku sd januari
35,"BONUS KUOTA 500MB (1hr)! Cukup isi ulang min. 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T514",2,bonus kuota mbak isi ulang min ayo buru isi pulsa t
36,BONUS PULSA 10RB! Ayo isi pulsa min. 5rb & dapetkan bonus pulsa 10rb utk nelp ke nmr Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530,2,bonus pulsa ayo isi pulsa min dapetkan bonus pulsa telpon nomor tri ayo buru isi pulsa t
37,"BONUS PULSA 50% dari Indosat Ooredoo, MAU?? Ketik *345# dan call dari HP kamu sebelum 28 April 2016",2,bonus pulsa indosat ooredoo ketik telepon hp april
38,BONUS PULSA 50rb cuma dgn isi ulang 25rb!! Hny Indosat yg bisa begini. Penawaran berlaku s/d 11 April 2016. Bonus 1x utk digunakan ke sesama Indosat Ooredoo,2,bonus pulsa isi ulang indosat tawar laku sd april bonus x indosat ooredoo
39,BONUS PULSA Rp 100 rb..!! Spesial untuk kamu pelanggan setia Indosat Ooredo.Hanya dengan isi ulang Rp150rb skrg juga! Penawaran berlaku s.d 13 Jan 2016 (bonus hanya 1x),2,bonus pulsa rupiah spesial langgan setia indosat ooredohanya isi ulang rprb tawar laku sd jan bonus x
40,"BONUS Rp. 5,000 untuk kamu! Cukup kirim SMS 2X hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  T483",2,bonus rupiah kirim sms x bonus khusus t
41,"BONUS Rp. 5,000 untuk kamu! Cukup telpon teman kamu selama 2 menit hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  A010",2,bonus rupiah telepon teman menit bonus khusus a
42,Buktikan hematnya pakai argo tetap di Bandung dengan GrabCar hingga 20%. Hayu ajakan rerencangan sareng buktikeun nyalira!,2,bukti hemat pakai argo bandung grabcar hayu aja rencang bareng buktikeun nyalira
43,Buruan Download & Registrasi myCare di http://bit.ly/mycarepLy dan dapatkan Promo 10GB (4G) di Paket Freedoom M & L dengan harga khusus HANYA HARI INI.,2,buru download registrasi mycare dapat promo paket freedoom m l harga khusus
44,"Butuh Piknik?Ada nih liburan GRATIS ke Hongkong!Cara:Pake pulsa AXIS di HP Androidmu buat transaksi sebanyak2nya items Pokemon Go,BIGO,COC, dll!Info838 LD328",2,butuh piknikada nih libur gratis hongkongcarapake pulsa axis hp androidmu transaksi banyak items pokemon gobigococ dllinfo ld
45,"Buy 2 Get 3 tiket Trans Studio Bandung,mulai 14 Mei-14Juni 2013.Tunjukkan SMS ke petugas di lokasi. Info: www.indosat.com/transstudiobgd",2,buy get tiket trans studio bandungmulai meijuni tunjuk sms tugas lokasi informasi
46,cuma Rp 7500 dapat nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo Â  internetan sepuasnya 3 hari dengan paket Ramadhan Unlimited. ketik *123*88#,2,rupiah telpon sms unlimited indosat ooredoo internetan puas paket ramadhan unlimited ketik
47,"Dapatkan BONUS PULSA hg 50rb jika isi ulang di hari Minggu, isi ulang mulai dr 10rb. Ktk: GRATIS krm ke 123. Panduan: ketik PAN krm ke123. Cek bonus tekan*555*3#",2,dapat bonus pulsa hg isi ulang minggu isi ulang gratis kirim pandu ketik pan kirim cek bonus tekan
48,"Dapatkan Bonus SMS Kamu. Hanya dg kirim SMS, Kamu akan dapat Bonus Ratusan SMS ke semua operator. Pakai terus Indosat Ooredoo & raih kebebasan berkomunikasi",2,dapat bonus sms kirim sms bonus ratus sms operator pakai indosat ooredoo raih bebas komunikasi
49,Dapatkan Disc 20% di McDonalds khusus utk pembayaran dgn TCASH TAP!Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,2,dapat disc mcdonalds khusus bayar tcash tapdptkan stiker tcash tap grapari dekat informasi tselmetappromo
50,Dapatkan Disc.30% utk Dominos PAN PIZZA!Roti yg lebih tebal dgn keju terasa sampai pinggir!Mulai Rp45500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,2,dapat disc dominos pan pizzaroti tebal keju pinggirmulai rpkunjungi toko terdekattelf klik panpizzacoid
51,"Dapatkan EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr dg beli paket FLASH mulai 1GB di MY TELKOMSEL APP. Buruan, cek  di tsel.me/mytsel1 S&K",2,dapat extra kuota lte extra telpon mnthr beli paket flash my telkomsel app buru cek tselmemytsel sk
52,"Dapatkan GRATIS 1 cappuccino (hot/ice) & Freza, setiap transaksi min Rp75Rb di EXCELSO Cafe Semarang, Yogya, Solo sd 9 Agust 13. Tunjukkan SMS kpd petugas",2,dapat gratis cappuccino hotice freza transaksi min rprb excelso cafe semarang yogya solo sd agust tunjuk sms tugas
53,Dapatkan GRATIS Wendy's Crispy Chicken Sandwich dengan minimal pembelian Rp.100.000. Tukarkan SMS ini di Wendy's terdekat! Persediaan terbatas. Promo *606#,2,dapat gratis wendys crispy chicken sandwich minimal beli rupiah tukar sms wendys dekat sedia batas promo
54,Dapatkan saldo bermain sebesar Rp 125rb hanya dengan bayar Rp 75rb. Berlaku hari Senin-Kamis. Tukarkan SMS ini segera di Timezone terdekat! Promo *606#,2,dapat saldo main rupiah bayar rupiah laku seninkamis tukar sms timezone dekat promo
55,"Dapatkan voucher Cipika Rp 100rb utk belanja kuliner, gadget, fashion, dll. Tkn *123*45# pilih Cipika, GRATIS & terbatas. Info: www.indosatooredoo.com/12345",2,dapat voucher cipika rupiah belanja kuliner gadget fashion lain tkn pilih cipika gratis batas informasi
56,"Dear Customer, Kindly values your experience at Telkomsel Service, score between 1(very poor) to 5 (excellent), send SMS to 1166 (FREE) (for int'l charged)",2,dear customer kindly values your experience at telkomsel servis score very poor excellent kirim sms free intl charged
57,Disc.25%  Domino's Pizza Value Range s/d 14 Agustus.Kunjungi store terdekat/hubungi 1500366/visit http://bit.ly/294KoZ6 Kode:VR25D,2,disc dominos pizza value range sd agustuskunjungi store terdekathubungi visit kodevrd
58,"DISKON 30RIBU khusus pelanggan baru Grab di Bandung. Berlaku 3x: kode promo URANGBANDUNG. Tak usah repot jalanan macet dan susah parkir, Hayu ngeGrab we atuh!",2,diskon ribu khusus langgan grab bandung laku x kode promo urangbandung repot jalan macet susah parkir hayu ngegrab we atuh
59,DISKON 50% kuota NELPON++ 20 MENIT ke smua operator! Cuma Rp7rb (Normal Rp14rb) dg masa aktif panjang. Balas SMS ini dgn ketik Tri. Hanya HARI INI! V712,2,diskon kuota telpon menit operator rprb normal rprb aktif balas sms ketik tri v
60,"DISKON 50% utk Kacamata Lengkap + Bonus Kacamata Hitam, Tunjukan SMS ini di JL Gatot Soebroto 88 T.7333812. S&amp K Berlaku.Promo*606#",2,diskon kacamata lengkap bonus kacamata hitam tunjuk sms jalan gatot soebroto t samp k berlakupromo
61,Domino's PAN PIZZA!Rotinya lebih tebal dgn keju terasa sampai pinggir! Nikmati Disc.30% dimulai Rp45.500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,2,dominos pan pizzarotinya tebal keju pinggir nikmat disc rpkunjungi toko terdekattelf klik panpizzacoid
62,DOUBLE kuota internet plus UNLIMITED Telpon dan SMS dengan Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,2,double kuota internet plus unlimited telepon sms paket freedom combo indosat ooredoo hubung
63,Download dan rasakan serunya game-game premium pilihan hanya di *900#,2,download rasa seru gamegame premium pilih
64,"Dptkn Free member card Larissa Aesthetic Center, disc 15% high treatment & asuransi jiwa, tiap isi ulang pulsa Rp 100rb di Galeri Indosat Jateng DIY s.d 31Des 13",2,dptkn free member card larissa aesthetic center disc high treatment asuransi jiwa isi ulang pulsa rupiah galeri indosat jawa diy sd des
65,"Dptkn kesempatan raih hadiah utama mobil Alphard dg cara tukar 500 poin senyum Anda dg 1 kupon Undian s.d tgl 20Jun13,ketik Undian Jmlh Poin ke 7887(Rp25)",2,dptkn sempat raih hadiah utama mobil alphard tukar poin senyum kupon undi sd tanggal junketik undi poin rupiah
66,Dukung rehabilitasi & pengembangan potensi anak berkebutuhan khusus di YPAC Jakarta. Mari berbagi melalui SMS Donasi dengan mengetik *123*65#,2,dukung rehabilitasi kembang potensi anak butuh khusus ypac jakarta mari bagi sms donasi etik
67,"Flash Promo s.d 9 Agt! Ayo datangi Gallery Smartfren terdekat, DISKON 290rb dg tukar HP Smartfrenmu ke Andromax 4G LTE atau 190 utk tukar dg MiFi 4G LTE",2,flash promo sd agt ayo datang gallery smartfren dekat diskon tukar hp smartfrenmu andromax lte tukar mifi lte
68,FREE DoubleScoop Ice Cream / Disc 10% di Haagen-Dasz dengan TCASH TAP! S&K berlaku. Info tsel.me/tappromo,2,free doublescoop ice cream disc haagendasz tcash tap sk laku informasi tselmetappromo
69,"GRATIS 10GB! Bagi yg blm mengganti kartu SIM menjadi SIM 4G, tukarkan skrg di gerai IndosatOoredoo terdekat dan nikmati GRATIS 10GB di jaringan 4G.",2,gratis ganti kartu sim sim tukar gerai indosatooredoo dekat nikmat gratis jaring
70,"GRATIS nelpon kemana saja, ke semua operator! Cukup beli Internet Harian 100MB seharga Rp1500. Balas SMS ini dgn ketik JS utk membeli. N092",2,gratis telpon mana operator beli internet hari mbak harga rupiah balas sms ketik js beli n
71,GRATIS Whatsapp seharian! Cukup beli Internet Harian 100MB seharga Rp1500. Balas SMS ini dgn ketik JR utk membeli. N091,2,gratis whatsapp hari beli internet hari mbak harga rupiah balas sms ketik jr beli n
72,Gunakan Grab dan nikmati 75% diskon untuk 10x bagi pengguna baru. Masukkan kode COBAGRABCAR sekarang juga dan ajak teman-temanmu keliling bandung tanp,2,grab nikmat diskon x guna masuk kode cobagrabcar ajak temantemanmu keliling bandung tanp
73,Gunakan GrabCar atau GrabTaxi & dapatkan diskon 35RIBU ke dan dari Stasiun/Bandara di Bandung. Masukkan kode promo GRABTRAVEL hingga pemakaian 30 September 2016. Hatur Nuhun.,2,grabcar grabtaxi dapat diskon ribu stasiunbandara bandung masuk kode promo grabtravel pakai september hatur nuhun
74,Gunakan TCASH untuk bayar tagihan listrik atau beli token listrik! Cukup hubungi *800# dan pilih menu pembayaran atau pembelian,2,tcash bayar tagih listrik beli token listrik hubung pilih menu bayar beli
75,"Hai Apa Kabar? Ada Bonus Meriah Cukup isi pulsa minimun Rp 5 Ribu s.d 15 November, kamu langsung dapatkan 300 MB GRATIS. Ayo isi pulsa! Bonus utk 3 hari. RL044A",2,hai kabar bonus riah isi pulsa minimun rupiah ribu sd november langsung dapat mbak gratis ayo isi pulsa bonus rla
76,"Hallo Bro, beli koin games pakai pulsamu yuk, mudah banget loh sob, cek http://tsel.me/jajanonline",2,hallo bro beli koin games pakai pulsa yuk mudah banget loh sob cek
77,"Hallo urang minang, ado sticker rancak di Group Line Urang Kampuang MINANG GUY, beli pake pulsa Telkomsel",2,hallo urang mang ado stiker rancak group line urang kampuang mang guy beli pakai pulsa telkomsel
78,"Hanya HARI ini! Freedom Combo XL Cuma Rp 89rb (Normal Rp 149rb) 20GB Music streaming gak pake kuota, UNLIMITED Nelp&SMS. Daftar *123#",2,freedom combo xl rupiah normal rupiah musik streaming pakai kuota unlimited nelpsms daftar
79,Hanya HARI INI!!! Cuma dengan seribu kamu langsung dapat 200 MB untuk 3 hari. Cukup balas SMS ini dengan ketik yA4. Buruan beli sekrang TL049B,2,ribu langsung mbak balas sms ketik ya buru beli sekrang tlb
80,"HARI INI Freedom Combo XL Rp89rb (normal Rp149rb). DOUBLE kuota 5GB+5GB(4G)+ PROMO 10GB(4G), UNLIMITED nelp & SMS ke Indosat Ooredoo. Ketik FREEDOM XL ke 363",2,freedom combo xl rprb normal rprb double kuota gbgbg promo gbg unlimited telpon sms indosat ooredoo ketik freedom xl
81,Hari ini! BRONET 24Jam 3GB 60hr Rp31900 dan BRONETSpecial 6GB 60hr (3GB 24Jam+3GB 00-06) Rp34900 di *123*888# SEGERA aktifkan paketnya sekarang!! Info838 LD300,2,bronet jam rupiah bronetspecial jamgb rupiah aktif paket informasi ld
82,Hari ini!! BRONET Special 4GB (2GB 24Jam+2GB 00-06) 60hr Rp24900 dan BRONET 24Jam 1GB 60hr Rp10900. AYO SEGERA aktifkan paket kamu di *123*888#. Info838 LD309,2,bronet special jamgb rupiah bronet jam rupiah ayo aktif paket informasi ld
83,Hari Rabu saatnya blanja di blanja.com & Nikmati diskon spesial untuk transaksi dengan TCASH! S&K Berlaku. Klik blj.co/tcashrabu,2,rabu blanja blanjacom nikmat diskon spesial transaksi tcash sk laku klik bljcotcashrabu
84,Hari Senin saatnya Nonton Hemat hanya 25ribu di Cinema XXI dgn TCASH TAP! Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,2,senin nonton hemat ribu cema xxi tcash tap dptkan stiker tcash tap grapari dekat informasi tselmetappromo
85,"HARI TERAKHIR! Kunjungi Galeri Smartfren skrng, buat kamu Andromax A 4G jd 99rb (nrml 649rb). Tunggu apa lagi?!Stok terbatas.sd 22Agt.S&K.Info888.DL46J",2,kunjung galeri smartfren andromax a nrml tunggu lagistok terbatassd agtskinfodlj
86,"Hayu dateng, mumpung ada ustad Fatih karim,beliau yg mengislamkan ustad Felix siaw",2,hayu mumpung ustad fatih karimbeliau islam ustad felix siaw
87,Hi! Ayo coba Grab untuk pemesanan taxi yang cepat dan aman. Klik: https://invite.grab.co/37aa4,2,hi ayo coba grab mesan taxi cepat aman klik
88,HOT PROMO! Dptkan EXTRA PULSA TSEL 50rb dg beli paket internet pertama kali di My Telkomsel App sjk 25 Agsts - 25 Sept. Cek detail paketnya di tsel.me/mytsel1,2,hot promo dptkan extra pulsa beli paket internet kali my telkomsel app sjk agsts september cek detail paket tselmemytsel
89,"HOT PROMO: Internetan kuota 1,2GB/30hr HANYA Rp 15ribu aja! Beli di *363*822#. Promo s.d 30Juni16. S&K",2,hot promo internetan kuota gbhr rupiah ribu beli promo sd juni sk
90,"Iâ€™m spreading the GO-JEK love. Download the GO-JEK app at â€œhttp://go-jek.com/appâ€ and input this referral code â€œ545075264â€ to get Rp 50,000 free credit to your first booking. #gojekgotmehere",2,i m spreading the gojek love download the gojek app at and input this referral code get rupiah free credit your first booking gojekgotmehere
91,Ikuti JobFairActive & UjiKlyakanKerjaBerstifikat @PlasaTelkomMlg 9Feb13. dptkan platihan Intrview&Rekom kerja ke ribuan Ph. Info: www.indogetjob.com/085233334106,2,ikut jobfairactive ujiklyakankerjaberstifikat plasatelkommlg feb dptkan platihan intrviewrekom kerja ribu ph informasi
92,Internetan puas kapan aja buat kamu yang butuh kuota besar. Paket SUMO 30GB 30hari semua jaringan. Beli di *123*3*3#. Info 123. D956,2,internetan puas butuh kuota paket sumo jaring beli informasi d
93,"Isi saldo TCASHmu  melalui jaringan ATM Bersama & ATM BCA! Lakukan transfer antar bank, Pilih bank TCASH (Kode bank 911). Gunakan No HP sbg no rekening tujuan.",2,isi saldo tcashmu jaring atm atm bca laku transfer bank pilih bank tcash kode bank nomor hp nomor rekening tuju
94,"Isi ulang Kuota++ 3GB berhasil, dan kuota tlh ditambahkan. Nikmati juga BONUS NELPON ke semua Tri Rp10rb, cek bonus di *111*2# atau BimaTri.",2,isi ulang kuota hasil kuota nikmat bonus telpon tri rprb cek bonus bimatri
95,Isi ulang Rp50000.0 berhasil. Kode transaksi 99100827288792. Cek *123*888# untuk promo RABU RAWIT & JUMAT BAIK buat semua Pelanggan AXIS!,2,isi ulang rupiah hasil kode transaksi cek promo rabu rawit jumat langgan axis
96,Jalani ibadah Haji dg nyaman tnpa prlu ganti kartu lokal.Nikmati GRATIS 2menit/hr trima telp dr IndosatOoredoo&Internet UNLIMITED Rp30Rb/hari.Info: *122*1# PAI3,2,jalan ibadah haji nyaman ganti kartu lokalnikmati gratis menithr trima telepon indosatooredoointernet unlimited rprbhariinfo pai
97,"Jangan dikejar diskon berlari, beli RAWIT diskon datang sendiri.AYO isi ulang kartu AXIS kamu sekarang,dan pastikan besok ikutan promo Rabu RAWIT.Info838.LD279",2,kejar diskon lari beli rawit diskon sendiriayo isi ulang kartu axis sekarangdan pasti besok ikut promo rabu rawitinfold
98,JANGAN LUPA kirim 50 SMS sd 16 Juni 2013 utk mendptkan Gratis 50 SMS ke sesame Indosat selama 2 hr (berlaku 1x selama periode prog). Info:100. US6,2,lupa kirim sms sd juni gratis sms sesame indosat laku x periode prog informasi us
99,"Jangan sampai kalah Bro, games mu bisa terbantu dengan menambah koinmu, beli aja pakai pulsa, cek caranya di http://tsel.me/jajanonline",2,kalah bro games mu bantu tambah koin beli pakai pulsa cek
100,"Jangan sampai kehabisan, HARI INI di Baskin Robbins Value Scoop cuma 35.000 lho! Tunjukkan SMS ini. S&K Berlaku. Promo *606#",2,habis baskin robbins value scoop lho tunjuk sms sk laku promo
101,"Jumat BAIK promo, BRONET 24Jam 1GB 30hr Rp10900 dan BRONET 4GB 60hr (24Jam 2GB + 00-06 2GB) Rp24900. SEGERA aktifkan paketnya melalui *123*888#.Info838.LD268",2,jumat promo bronet jam rupiah bronet jam rupiah aktif paket infold
102,"Kapan lg beli paket Flash mulai 1,3GB di MyTelkomsel dpt Extra PULSA Rp 50rb? Utk pembelian pertama sjk 25Aug - 25Sept. Cek detail paket di tsel.me/mytsel1",2,beli paket flash mytelkomsel extra pulsa rupiah beli sjk aug september cek detail paket tselmemytsel
103,Karena kamu pelanggan setia kamu bisa tukarkan hp smartfrenmu dg Andromax E 4G LTE hny 859rb(nrml 999rb). Segera ke Galeri Smartfren,2,langgan setia tukar hp smartfrenmu andromax e lte rbnrml galeri smartfren
104,"Kartu 4G-LTE Anda telah aktif Dapatkan kuota tambahan sd 10GB&konten menarik dijaringan 4G, hub *123*46#. Info lokasi www.indosatooredoo.com/4G",2,kartu glte aktif dapat kuota tambah sd gbkonten tarik jaring hubung informasi lokasi
105,"Kesempatan LANGKA! Cuma buat kamu saja loh, Dapatkan 1 GB Cuma dengan RP 5000. Balas SMS ini dengan ketik Y10 s.d 15 November. Bonus berlaku 3 hari/ TL050D",2,sempat langka loh dapat rupiah balas sms ketik y sd november bonus laku tld
106,"Ketik FLASH<spasi>INFO kirim ke 33636 utk status paket kamu. Loopers! Dptkan info tren anak muda, challenge & pembelian paket di loop.co.id & follow@loop_id",2,ketik flashspasiinfo kirim status paket loopers dptkan informasi tren anak muda challenge beli paket loopcoid followloop id
